Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC1735\LTC1735_ex1_bode.asc

DWH: Results for .step param freq list  1k 2k 3k 4k 5k 7k 10k 20k 30k 50k 70k 100k 200k 300k 500k 700k 1Meg

Direct Newton iteration for .op point succeeded.
.step freq=1000
Heightened Def Con from 0.000931635 to 0.000931637
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	3.27035	0	0.01
     2	3.27035	0	0.005
     3	3.27035	0	0.00333333
     4	3.27035	0	0.0025
     5	3.27034	0	0.002
     6	3.27035	0	0.00142857
     7	3.27034	0	0.001
     8	3.27035	0	0.001
     9	3.27034	0	0.001
    10	3.27033	0	0.001
    11	3.27033	0	0.001
    12	3.27033	0	0.001
    13	3.27034	0	0.001
    14	3.27034	0	0.001
    15	3.27035	0	0.001
    16	3.27035	0	0.001
    17	3.27035	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	3.27035	0	0.01
     2	3.27035	0	0.005
     3	3.27035	0	0.00333333
     4	3.27035	0	0.0025
     5	3.27034	0	0.002
     6	3.27035	0	0.00142857
     7	3.27034	0	0.001
     8	3.27035	0	0.001
     9	3.27034	0	0.001
    10	3.27033	0	0.001
    11	3.27033	0	0.001
    12	3.27033	0	0.001
    13	3.27034	0	0.001
    14	3.27034	0	0.001
    15	3.27035	0	0.001
    16	3.27035	0	0.001
    17	3.27035	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.5879	0	0.01
     2	1.58794	0	0.005
     3	1.58803	0	0.00333333
     4	1.58794	0	0.0025
     5	1.58799	0	0.002
     6	1.58788	0	0.00142857
     7	1.58813	0	0.001
     8	1.58806	0	0.001
     9	1.58802	0	0.001
    10	1.58798	0	0.001
    11	1.58799	0	0.001
    12	1.58815	0	0.001
    13	1.58819	0	0.001
    14	1.58821	0	0.001
    15	1.58789	0	0.001
    16	1.58778	0	0.001
    17	1.58756	0	0.001

Measurement: davg
  step	AVG(v(d))	FROM	TO
     1	3.43145	0	0.01
     2	3.43205	0	0.005
     3	3.43198	0	0.00333333
     4	3.43309	0	0.0025
     5	3.43129	0	0.002
     6	3.43349	0	0.00142857
     7	3.43268	0	0.001
     8	3.43118	0	0.001
     9	3.43104	0	0.001
    10	3.43119	0	0.001
    11	3.43182	0	0.001
    12	3.43147	0	0.001
    13	3.43179	0	0.001
    14	3.43398	0	0.001
    15	3.43407	0	0.001
    16	3.4318	0	0.001
    17	3.43177	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	1.39044e-005	0	0.01
     2	-0.000189877	0	0.005
     3	-4.76367e-005	0	0.00333333
     4	0.000619989	0	0.0025
     5	0.000625569	0	0.002
     6	-0.00184989	0	0.00142857
     7	0.000256176	0	0.001
     8	0.001097	0	0.001
     9	0.00179933	0	0.001
    10	0.00208721	0	0.001
    11	0.001792	0	0.001
    12	0.00133538	0	0.001
    13	0.000234054	0	0.001
    14	-0.000198676	0	0.001
    15	-0.000397865	0	0.001
    16	-1.00965e-006	0	0.001
    17	2.00974e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	6.74612e-005	0	0.01
     2	-1.14561e-006	0	0.005
     3	-0.00039073	0	0.00333333
     4	-0.000239814	0	0.0025
     5	0.000802672	0	0.002
     6	-0.000453974	0	0.00142857
     7	0.00024966	0	0.001
     8	0.000297918	0	0.001
     9	-0.000231736	0	0.001
    10	-0.00150686	0	0.001
    11	-0.00228259	0	0.001
    12	-0.00279449	0	0.001
    13	-0.00314681	0	0.001
    14	-0.00272587	0	0.001
    15	-0.00274238	0	0.001
