Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC1735\LTC1735_ex1_bode.asc

DWH: Results for .step param freq list 100 300 1k 2k 3k 4k 5k 7k 10k 20k 30k 50k 70k 100k 200k 300k 500k 700k 1Meg

Direct Newton iteration for .op point succeeded.
.step freq=100
Heightened Def Con from 0.000930389 to 0.000930391
Heightened Def Con from 0.000932437 to 0.000932439
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	3.27035	0	0.1
     2	3.27035	0	0.0333333
     3	3.27035	0	0.01
     4	3.27035	0	0.005
     5	3.27035	0	0.00333333
     6	3.27035	0	0.0025
     7	3.27034	0	0.002
     8	3.27035	0	0.00142857
     9	3.27034	0	0.001
    10	3.27035	0	0.001
    11	3.27034	0	0.001
    12	3.27033	0	0.001
    13	3.27034	0	0.001
    14	3.27033	0	0.001
    15	3.27034	0	0.001
    16	3.27034	0	0.001
    17	3.27035	0	0.001
    18	3.27035	0	0.001
    19	3.27035	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	3.27035	0	0.1
     2	3.27035	0	0.0333333
     3	3.27035	0	0.01
     4	3.27035	0	0.005
     5	3.27035	0	0.00333333
     6	3.27035	0	0.0025
     7	3.27034	0	0.002
     8	3.27035	0	0.00142857
     9	3.27034	0	0.001
    10	3.27035	0	0.001
    11	3.27034	0	0.001
    12	3.27033	0	0.001
    13	3.27034	0	0.001
    14	3.27034	0	0.001
    15	3.27034	0	0.001
    16	3.27034	0	0.001
    17	3.27035	0	0.001
    18	3.27035	0	0.001
    19	3.27035	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.58792	0	0.1
     2	1.58796	0	0.0333333
     3	1.58794	0	0.01
