Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC3600\LTC3600_bode.asc

Frequency sweep for
  * Vout = 5V @ 1A
  * L = 4.7uF Rdcr = 40mOhm
  * Cout = 14u Resr = 3mOhm (TDK C2012X5R1A476M 47uF, 10V, under 5V DC bias)
  * Compensation: R1 = 16k, C1 = 1000pF, C2 = 100pF (fz = 10kHz, fp = 100kHz, gain = gmea*R = 20dB)

WARNING: Node U1:N007 is floating.

WARNING: Less than two connections to node NC_01.  This node is used by S:U1:10.
Direct Newton iteration for .op point succeeded.
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	4.99458	0	0.01
     2	4.99458	0	0.005
     3	4.99458	0	0.00333333
     4	4.99458	0	0.0025
     5	4.99458	0	0.002
     6	4.99458	0	0.00142857
     7	4.99458	0	0.001
     8	4.99458	0	0.001
     9	4.99458	0	0.001
    10	4.99458	0	0.001
    11	4.99458	0	0.001
    12	4.99458	0	0.001
    13	4.99458	0	0.001
    14	4.99458	0	0.001
    15	4.99458	0	0.001
    16	4.99458	0	0.001
    17	4.99458	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	4.99458	0	0.01
     2	4.99458	0	0.005
     3	4.99458	0	0.00333333
     4	4.99458	0	0.0025
     5	4.99458	0	0.002
     6	4.99458	0	0.00142857
     7	4.99458	0	0.001
     8	4.99458	0	0.001
     9	4.99458	0	0.001
    10	4.99458	0	0.001
    11	4.99458	0	0.001
    12	4.99458	0	0.001
    13	4.99458	0	0.001
    14	4.99458	0	0.001
    15	4.99458	0	0.001
    16	4.99458	0	0.001
    17	4.99458	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.37904	0	0.01
     2	1.37899	0	0.005
     3	1.37895	0	0.00333333
     4	1.37895	0	0.0025
     5	1.37897	0	0.002
     6	1.37896	0	0.00142857
     7	1.37906	0	0.001
     8	1.37903	0	0.001
     9	1.379	0	0.001
    10	1.37895	0	0.001
    11	1.37898	0	0.001
    12	1.37898	0	0.001
    13	1.3789	0	0.001
    14	1.37883	0	0.001
    15	1.37881	0	0.001
    16	1.37878	0	0.001
    17	1.37892	0	0.001

Measurement: davg
  step	AVG(v(d))	FROM	TO
     1	5.03452	0	0.01
     2	5.03454	0	0.005
     3	5.03452	0	0.00333333
     4	5.03461	0	0.0025
     5	5.03449	0	0.002
     6	5.03292	0	0.00142857
     7	5.0343	0	0.001
     8	5.03436	0	0.001
     9	5.03451	0	0.001
    10	5.03486	0	0.001
    11	5.03447	0	0.001
    12	5.03474	0	0.001
    13	5.03443	0	0.001
    14	5.03451	0	0.001
    15	5.03444	0	0.001
    16	5.03483	0	0.001
    17	5.03437	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	-4.547e-005	0	0.01
     2	9.76583e-005	0	0.005
     3	-0.000164763	0	0.00333333
     4	0.000253329	0	0.0025
     5	-0.000361608	0	0.002
     6	-0.000645369	0	0.00142857
     7	0.000121599	0	0.001
     8	0.000348599	0	0.001
     9	0.000596689	0	0.001
    10	0.00122048	0	0.001
    11	0.00220805	0	0.001
    12	0.0043984	0	0.001
    13	9.5853e-005	0	0.001
    14	-0.000129355	0	0.001
    15	-9.61049e-005	0	0.001
    16	-5.93935e-005	0	0.001
    17	2.33428e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	-1.45696e-005	0	0.01
     2	6.01126e-005	0	0.005
     3	-0.00013096	0	0.00333333
     4	0.000220731	0	0.0025
     5	-0.00032418	0	0.002
     6	-0.000548192	0	0.00142857
     7	8.52985e-005	0	0.001
     8	0.000154853	0	0.001
     9	0.000205104	0	0.001
    10	0.000322317	0	0.001
    11	0.000329269	0	0.001
    12	-0.00144317	0	0.001
