Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC3851A\LTC3851A_ex3_bode.asc

DWH: Results for .step param freq list 100 300 1k 2k 3k 4k 5k 7k 10k 20k 30k 50k 70k 100k 200k 300k 500k 700k 1Meg
     Run on Tui - 14633 seconds = 4 hours 4 minutes
     Tested with compensation components: Ra = 1.65k, Rb = 1.87k, R1 = 7.5k, C1 = 680p, C2 = 330p,
     and DCR sensing/attenuation: As = 0.769, Cs = 100n so that Rsns = 2.0mOhm

Direct Newton iteration for .op point succeeded.
.step freq=100
Heightened Def Con from 0.0015712 to 0.0015712
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	1.5051	0	0.1
     2	1.5051	0	0.0333333
     3	1.5051	0	0.01
     4	1.5051	0	0.005
     5	1.5051	0	0.00333333
     6	1.5051	0	0.0025
     7	1.5051	0	0.002
     8	1.5051	0	0.00142857
     9	1.5051	0	0.001
    10	1.5051	0	0.001
    11	1.5051	0	0.001
    12	1.50509	0	0.001
    13	1.5051	0	0.001
    14	1.50509	0	0.001
    15	1.50509	0	0.001
    16	1.5051	0	0.001
    17	1.50511	0	0.001
    18	1.50509	0	0.001
    19	1.5051	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	1.5051	0	0.1
     2	1.5051	0	0.0333333
     3	1.5051	0	0.01
     4	1.5051	0	0.005
     5	1.5051	0	0.00333333
     6	1.5051	0	0.0025
     7	1.5051	0	0.002
     8	1.5051	0	0.00142857
     9	1.5051	0	0.001
    10	1.5051	0	0.001
    11	1.5051	0	0.001
    12	1.50509	0	0.001
    13	1.5051	0	0.001
    14	1.50509	0	0.001
    15	1.50509	0	0.001
    16	1.5051	0	0.001
    17	1.50511	0	0.001
    18	1.50509	0	0.001
    19	1.5051	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.21958	0	0.1
     2	1.21959	0	0.0333333
     3	1.21958	0	0.01
     4	1.21968	0	0.005
     5	1.21975	0	0.00333333
     6	1.2198	0	0.0025
     7	1.21986	0	0.002
     8	1.22004	0	0.00142857
     9	1.21916	0	0.001
    10	1.21916	0	0.001
    11	1.21917	0	0.001
    12	1.21911	0	0.001
    13	1.2191	0	0.001
    14	1.21902	0	0.001
    15	1.2191	0	0.001
    16	1.2193	0	0.001
    17	1.21926	0	0.001
    18	1.21902	0	0.001
    19	1.21928	0	0.001

Measurement: davg
  step	AVG(v(d))	FROM	TO
     1	1.54386	0	0.1
     2	1.54382	0	0.0333333
     3	1.54392	0	0.01
     4	1.54373	0	0.005
     5	1.54358	0	0.00333333
     6	1.54358	0	0.0025
     7	1.54392	0	0.002
     8	1.5439	0	0.00142857
     9	1.54494	0	0.001
    10	1.54521	0	0.001
    11	1.54522	0	0.001
    12	1.54539	0	0.001
    13	1.54522	0	0.001
    14	1.54479	0	0.001
    15	1.54465	0	0.001
    16	1.54439	0	0.001
    17	1.54473	0	0.001
    18	1.54525	0	0.001
    19	1.54525	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	-2.21558e-008	0	0.1
     2	1.45184e-006	0	0.0333333
     3	-2.57206e-005	0	0.01
     4	-9.68853e-005	0	0.005
     5	8.18862e-005	0	0.00333333
     6	0.000438934	0	0.0025
     7	0.000194367	0	0.002
     8	-0.00108593	0	0.00142857
     9	0.000105877	0	0.001
    10	0.000859166	0	0.001
    11	0.00228934	0	0.001
    12	0.00258223	0	0.001
    13	0.00198361	0	0.001
    14	0.00127622	0	0.001
    15	-3.69455e-005	0	0.001
    16	-0.00018001	0	0.001
    17	-0.00151068	0	0.001
    18	-9.22706e-006	0	0.001
    19	-1.11733e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	6.3861e-007	0	0.1
     2	-3.58049e-006	0	0.0333333
     3	2.24805e-005	0	0.01
     4	-6.72417e-005	0	0.005
     5	-0.000238162	0	0.00333333
     6	1.24082e-005	0	0.0025
     7	0.000652924	0	0.002
     8	-0.000771289	0	0.00142857
     9	0.000251032	0	0.001
    10	0.000772037	0	0.001
    11	0.000372967	0	0.001
    12	-0.00181398	0	0.001
    13	-0.00265249	0	0.001
    14	-0.00317381	0	0.001
    15	-0.00304459	0	0.001
    16	-0.00262706	0	0.001
    17	-0.00204697	0	0.001
    18	-0.00252428	0	0.001
    19	-0.00246477	0	0.001

Measurement: bre
  step	AVG((v(b)-bavg)*cos(360*time*freq))	FROM	TO
     1	-0.0245572	0	0.1
     2	0.0211097	0	0.0333333
     3	-0.0238021	0	0.01
     4	-0.0147915	0	0.005
     5	0.0147765	0	0.00333333
     6	0.0242153	0	0.0025
     7	0.000194367	0	0.002
     8	-0.0157806	0	0.00142857
     9	0.000105877	0	0.001
    10	0.000859166	0	0.001
    11	0.00228934	0	0.001
    12	0.00258223	0	0.001
    13	0.00198361	0	0.001
    14	0.00127622	0	0.001
    15	-3.69464e-005	0	0.001
    16	-0.000180009	0	0.001
    17	-0.00151068	0	0.001
    18	-9.22523e-006	0	0.001
    19	-1.11608e-005	0	0.001

Measurement: bim
  step	AVG(-(v(b)-bavg)*sin(360*time*freq))	FROM	TO
     1	0.00468517	0	0.1
     2	-0.0133993	0	0.0333333
     3	0.00774791	0	0.01
     4	-0.0202927	0	0.005
     5	-0.0204636	0	0.00333333
     6	0.00773783	0	0.0025
     7	0.0256529	0	0.002
     8	-0.0209967	0	0.00142857
     9	0.00275103	0	0.001
    10	0.00327204	0	0.001
    11	0.00287296	0	0.001
    12	0.000686013	0	0.001
    13	-0.000152513	0	0.001
    14	-0.00067385	0	0.001
    15	-0.00054475	0	0.001
    16	-0.000127415	0	0.001
    17	0.000452054	0	0.001
    18	-2.61926e-005	0	0.001
    19	3.13157e-005	0	0.001

Measurement: cre
  step	AVG((v(c)-cavg)*cos(360*time*freq))	FROM	TO
     1	-0.000455685	0	0.1
     2	0.00152299	0	0.0333333
     3	-0.00316738	0	0.01
     4	0.0063497	0	0.005
     5	0.0127696	0	0.00333333
     6	-0.00255152	0	0.0025
     7	-0.0226617	0	0.002
     8	0.0227484	0	0.00142857
     9	-0.00467547	0	0.001
    10	-0.00995943	0	0.001
    11	-0.00987536	0	0.001
    12	0.00166407	0	0.001
    13	0.00650052	0	0.001
    14	0.00908121	0	0.001
    15	0.00691284	0	0.001
    16	0.00426814	0	0.001
    17	0.00198352	0	0.001
    18	0.00176685	0	0.001
    19	0.00115785	0	0.001

Measurement: cim
  step	AVG(-(v(c)-cavg)*sin(360*time*freq))	FROM	TO
     1	-0.000598533	0	0.1
     2	0.00137124	0	0.0333333
     3	-0.00470853	0	0.01
     4	-0.00752063	0	0.005
     5	0.00583874	0	0.00333333
     6	0.0182228	0	0.0025
     7	0.00370285	0	0.002
     8	-0.0231154	0	0.00142857
     9	0.00091079	0	0.001
    10	0.00515204	0	0.001
