Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC3851A\LTC3851A_ex5_bode.asc

DWH: Results for .step param freq list 100 300 1k 2k 3k 4k 5k 7k 10k 20k 30k 50k 70k 100k 200k 300k 500k 700k 1Meg
     Run on Tui - 14597 seconds = 4 hours 3 minutes
     Tested with compensation components: Ra = 1.65k, Rb = 1.87k, R1 = 7.15k, C1 = 560p, C2 = 180p, resulting in compensator gain at fs,
     and DCR sensing/attenuation: As = 0.577, Cs = 100n so that Rsns = 1.5mOhm

Direct Newton iteration for .op point succeeded.
.step freq=100
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	1.5052	0	0.1
     2	1.5052	0	0.0333333
     3	1.5052	0	0.01
     4	1.5052	0	0.005
     5	1.5052	0	0.00333333
     6	1.5052	0	0.0025
     7	1.5052	0	0.002
     8	1.5052	0	0.00142857
     9	1.5052	0	0.001
    10	1.5052	0	0.001
    11	1.5052	0	0.001
    12	1.5052	0	0.001
    13	1.5052	0	0.001
    14	1.50519	0	0.001
    15	1.50519	0	0.001
    16	1.50519	0	0.001
    17	1.50521	0	0.001
    18	1.50519	0	0.001
    19	1.5052	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	1.5052	0	0.1
     2	1.5052	0	0.0333333
     3	1.5052	0	0.01
     4	1.5052	0	0.005
     5	1.5052	0	0.00333333
     6	1.5052	0	0.0025
     7	1.5052	0	0.002
     8	1.5052	0	0.00142857
     9	1.5052	0	0.001
    10	1.5052	0	0.001
    11	1.5052	0	0.001
    12	1.5052	0	0.001
    13	1.5052	0	0.001
    14	1.50519	0	0.001
    15	1.50519	0	0.001
    16	1.50519	0	0.001
    17	1.50521	0	0.001
    18	1.50519	0	0.001
    19	1.5052	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.0597	0	0.1
     2	1.05971	0	0.0333333
     3	1.05971	0	0.01
     4	1.05975	0	0.005
     5	1.05985	0	0.00333333
     6	1.05989	0	0.0025
     7	1.05995	0	0.002
     8	1.0601	0	0.00142857
     9	1.05917	0	0.001
    10	1.05912	0	0.001
    11	1.0591	0	0.001
    12	1.0592	0	0.001
    13	1.05914	0	0.001
    14	1.0593	0	0.001
    15	1.05995	0	0.001
    16	1.06027	0	0.001
    17	1.05972	0	0.001
    18	1.05897	0	0.001
    19	1.05931	0	0.001

Measurement: davg
  step	AVG(v(d))	FROM	TO
     1	1.54396	0	0.1
     2	1.54392	0	0.0333333
     3	1.54403	0	0.01
     4	1.54386	0	0.005
     5	1.54368	0	0.00333333
     6	1.5437	0	0.0025
     7	1.54399	0	0.002
     8	1.54396	0	0.00142857
     9	1.54556	0	0.001
    10	1.54498	0	0.001
    11	1.54514	0	0.001
    12	1.54542	0	0.001
    13	1.54546	0	0.001
    14	1.54531	0	0.001
    15	1.5443	0	0.001
    16	1.54532	0	0.001
    17	1.54503	0	0.001
    18	1.54535	0	0.001
    19	1.54522	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	-4.91234e-007	0	0.1
     2	1.61275e-006	0	0.0333333
     3	-1.61151e-005	0	0.01
     4	-5.51704e-005	0	0.005
     5	4.61591e-005	0	0.00333333
     6	0.000243818	0	0.0025
     7	0.00010481	0	0.002
     8	-0.000584636	0	0.00142857
     9	4.98034e-005	0	0.001
    10	0.000367508	0	0.001
    11	0.00107612	0	0.001
    12	0.00214742	0	0.001
    13	0.00233443	0	0.001
    14	0.0023802	0	0.001
    15	0.000437269	0	0.001
    16	-0.000520203	0	0.001
    17	-0.00151421	0	0.001
    18	-1.10826e-005	0	0.001
    19	-1.16088e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	2.49393e-007	0	0.1
     2	-1.90393e-006	0	0.0333333
     3	1.24604e-005	0	0.01
     4	-3.89427e-005	0	0.005
     5	-0.000133297	0	0.00333333
     6	8.03515e-006	0	0.0025
     7	0.000360764	0	0.002
     8	-0.000431606	0	0.00142857
     9	0.000136192	0	0.001
    10	0.000456863	0	0.001
    11	0.000581774	0	0.001
    12	-0.000318286	0	0.001
    13	-0.00119786	0	0.001
    14	-0.00209908	0	0.001
    15	-0.00396372	0	0.001
    16	-0.00289772	0	0.001
    17	-0.00206185	0	0.001
    18	-0.00258176	0	0.001
    19	-0.00246517	0	0.001

Measurement: bre
  step	AVG((v(b)-bavg)*cos(360*time*freq))	FROM	TO
     1	-0.0245577	0	0.1
     2	0.0211098	0	0.0333333
     3	-0.0237925	0	0.01
     4	-0.0147498	0	0.005
     5	0.0147408	0	0.00333333
     6	0.0240202	0	0.0025
     7	0.000104809	0	0.002
     8	-0.0152793	0	0.00142857
     9	4.9803e-005	0	0.001
    10	0.000367508	0	0.001
    11	0.00107612	0	0.001
    12	0.00214742	0	0.001
    13	0.00233443	0	0.001
    14	0.0023802	0	0.001
    15	0.000437269	0	0.001
    16	-0.000520202	0	0.001
    17	-0.00151422	0	0.001
    18	-1.10848e-005	0	0.001
    19	-1.15959e-005	0	0.001

Measurement: bim
  step	AVG(-(v(b)-bavg)*sin(360*time*freq))	FROM	TO
     1	0.00468478	0	0.1
     2	-0.0133976	0	0.0333333
     3	0.00773789	0	0.01
     4	-0.0202644	0	0.005
     5	-0.0203587	0	0.00333333
     6	0.00773346	0	0.0025
     7	0.0253608	0	0.002
     8	-0.020657	0	0.00142857
     9	0.00263619	0	0.001
    10	0.00295686	0	0.001
    11	0.00308177	0	0.001
    12	0.0021817	0	0.001
    13	0.00130212	0	0.001
    14	0.000400882	0	0.001
    15	-0.00146388	0	0.001
    16	-0.000398072	0	0.001
    17	0.00043718	0	0.001
    18	-8.36812e-005	0	0.001
    19	3.09261e-005	0	0.001

Measurement: cre
  step	AVG((v(c)-cavg)*cos(360*time*freq))	FROM	TO
     1	0.000386166	0	0.1
     2	0.000697217	0	0.0333333
     3	-0.00219405	0	0.01
     4	0.00507682	0	0.005
     5	0.0097037	0	0.00333333
     6	-0.00198992	0	0.0025
     7	-0.0169831	0	0.002
     8	0.0169351	0	0.00142857
     9	-0.00336472	0	0.001
    10	-0.00701623	0	0.001
    11	-0.0093432	0	0.001
    12	-0.00649642	0	0.001
    13	-0.00246265	0	0.001
    14	0.00181316	0	0.001
    15	0.0125975	0	0.001
    16	0.00804358	0	0.001
    17	0.00382852	0	0.001
    18	0.00327723	0	0.001
    19	0.00213032	0	0.001

Measurement: cim
  step	AVG(-(v(c)-cavg)*sin(360*time*freq))	FROM	TO
     1	-0.000682166	0	0.1
     2	0.00159758	0	0.0333333
     3	-0.00402419	0	0.01
     4	-0.00572578	0	0.005
     5	0.00452344	0	0.00333333
     6	0.0137645	0	0.0025
     7	0.00273975	0	0.002
     8	-0.0169521	0	0.00142857
     9	0.00056171	0	0.001
    10	0.00244116	0	0.001
    11	0.0066068	0	0.001
    12	0.0137096	0	0.001
    13	0.0156704	0	0.001
    14	0.0165469	0	0.001
    15	0.00749898	0	0.001
    16	0.000779407	0	0.001
    17	-0.00237541	0	0.001
    18	-0.000164751	0	0.001
    19	-0.000411988	0	0.001

Measurement: dre
  step	AVG((v(d)-davg)*cos(360*time*freq))	FROM	TO
     1	-0.0245906	0	0.1
     2	0.0211482	0	0.0333333
     3	-0.0235321	0	0.01
     4	-0.0134267	0	0.005
     5	0.013655	0	0.00333333
     6	0.0179391	0	0.0025
     7	-0.00242348	0	0.002
     8	-0.00138011	0	0.00142857
     9	0.000635315	0	0.001
    10	-0.00601356	0	0.001
    11	-0.0241901	0	0.001
    12	-0.0758692	0	0.001
    13	-0.107593	0	0.001
    14	-0.125319	0	0.001
    15	0.162198	0	0.001
    16	0.192159	0	0.001
    17	0.319377	0	0.001
    18	0.0827934	0	0.001
    19	-0.0393365	0	0.001

Measurement: dim
  step	AVG(-(v(d)-davg)*sin(360*time*freq))	FROM	TO
     1	0.00465698	0	0.1
     2	-0.013313	0	0.0333333
     3	0.00729656	0	0.01
     4	-0.0196258	0	0.005
     5	-0.0171309	0	0.00333333
     6	0.00776008	0	0.0025
     7	0.0166692	0	0.002
     8	-0.00953555	0	0.00142857
     9	-0.00092565	0	0.001
    10	-0.0111177	0	0.001
    11	-0.0220724	0	0.001
    12	-0.00868084	0	0.001
    13	0.0317492	0	0.001
    14	0.110395	0	0.001
    15	0.208826	0	0.001
    16	-0.0581767	0	0.001
    17	-0.970719	0	0.001
    18	0.0346996	0	0.001
    19	-0.0420174	0	0.001

Measurement: gain_db
  step	20*log10(hypot(bre,bim) / hypot(are,aim))
     1	93.1373
     2	80.0176
     3	61.7854
     4	51.391
     5	45.0173
     6	40.2939
     7	36.5869
     8	30.9695
     9	25.193
    10	14.1203
    11	8.52494
    12	2.98526
    13	0.161399
    14	-2.37718
    15	-8.33332
    16	-13.0536
    17	-4.207
    18	-29.7103
    19	-37.4592

Measurement: phase
  step	mod(atan2(bim, bre) - atan2(aim, are)+180,360)-180
     1	16.116
     2	17.3316
     3	19.696
     4	18.7335
     5	16.8061
     6	15.9587
     7	15.9629
     8	17.0745
     9	19.0044
    10	31.7288
    11	42.3547
    12	53.8846
    13	56.316
    14	50.969
    15	10.3359
    16	-42.3985
    17	-69.8109
    18	-7.29975
    19	-159.176

Measurement: kco_db
  step	20*log10(hypot(bre,bim) / hypot(cre,cim))
     1	30.0739
     2	23.1332
     3	14.7416
     4	10.3051
     5	7.41285
     6	5.17484
     7	3.37142
     8	0.60615
     9	-2.23728
    10	-7.93515
    11	-10.8952
    12	-13.9023
    13	-15.4675
    14	-16.7724
    15	-19.6417
    16	-21.8243
    17	-9.12352
