Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC3851A\LTC3851A_ex5_bode.asc

DWH: Results for .step param freq list 100 300 1k 2k 3k 4k 5k 7k 10k 20k 30k 50k 70k 100k 200k 300k 500k 700k 1Meg
     Run on Tui - 15829 seconds = 4 hours 24 minutes
     Moved the low-frequency zero down to ~10kHz
     Tested with compensation components: Ra = 1.65k, Rb = 1.87k, R1 = 7.15k, C1 = 2700p, C2 = 180p, resulting in compensator gain at fs,
     and DCR sensing/attenuation: As = 0.577, Cs = 100n so that Rsns = 1.5mOhm

Direct Newton iteration for .op point succeeded.
.step freq=100
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	1.5052	0	0.1
     2	1.5052	0	0.0333333
     3	1.5052	0	0.01
     4	1.5052	0	0.005
     5	1.5052	0	0.00333333
     6	1.5052	0	0.0025
     7	1.5052	0	0.002
     8	1.5052	0	0.00142857
     9	1.5052	0	0.001
    10	1.5052	0	0.001
    11	1.5052	0	0.001
    12	1.5052	0	0.001
    13	1.5052	0	0.001
    14	1.5052	0	0.001
    15	1.50519	0	0.001
    16	1.5052	0	0.001
    17	1.50525	0	0.001
    18	1.5052	0	0.001
    19	1.5052	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	1.5052	0	0.1
     2	1.5052	0	0.0333333
     3	1.5052	0	0.01
     4	1.5052	0	0.005
     5	1.5052	0	0.00333333
     6	1.5052	0	0.0025
     7	1.5052	0	0.002
     8	1.5052	0	0.00142857
     9	1.5052	0	0.001
    10	1.5052	0	0.001
    11	1.5052	0	0.001
    12	1.5052	0	0.001
    13	1.5052	0	0.001
    14	1.5052	0	0.001
    15	1.50519	0	0.001
    16	1.5052	0	0.001
    17	1.50525	0	0.001
    18	1.5052	0	0.001
    19	1.5052	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.05957	0	0.1
     2	1.05957	0	0.0333333
     3	1.0596	0	0.01
     4	1.05966	0	0.005
     5	1.0597	0	0.00333333
     6	1.0598	0	0.0025
     7	1.05991	0	0.002
     8	1.06005	0	0.00142857
     9	1.05902	0	0.001
    10	1.05902	0	0.001
    11	1.05895	0	0.001
    12	1.05912	0	0.001
    13	1.05902	0	0.001
    14	1.05907	0	0.001
    15	1.06003	0	0.001
    16	1.06035	0	0.001
    17	1.05966	0	0.001
    18	1.05881	0	0.001
    19	1.05923	0	0.001

Measurement: davg
  step	AVG(v(d))	FROM	TO
     1	1.54396	0	0.1
     2	1.54392	0	0.0333333
     3	1.54403	0	0.01
     4	1.54386	0	0.005
     5	1.5437	0	0.00333333
     6	1.54372	0	0.0025
     7	1.544	0	0.002
     8	1.54403	0	0.00142857
     9	1.54549	0	0.001
    10	1.54503	0	0.001
    11	1.54533	0	0.001
    12	1.54556	0	0.001
    13	1.54551	0	0.001
    14	1.54529	0	0.001
    15	1.54473	0	0.001
    16	1.54534	0	0.001
    17	1.545	0	0.001
    18	1.54536	0	0.001
    19	1.54544	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	-1.29854e-006	0	0.1
     2	7.64678e-006	0	0.0333333
     3	-6.20135e-005	0	0.01
     4	-0.000227203	0	0.005
     5	4.87535e-005	0	0.00333333
     6	0.000835645	0	0.0025
     7	0.000835416	0	0.002
     8	-0.00226006	0	0.00142857
     9	0.000335689	0	0.001
    10	0.000868781	0	0.001
    11	0.00116564	0	0.001
    12	0.00142738	0	0.001
    13	0.00164921	0	0.001
    14	0.00199311	0	0.001
    15	0.000635832	0	0.001
    16	-0.000571289	0	0.001
    17	-0.00151421	0	0.001
    18	-8.66929e-006	0	0.001
    19	-1.06059e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	-2.31561e-007	0	0.1
     2	-4.79118e-006	0	0.0333333
     3	4.70215e-005	0	0.01
     4	-0.000119465	0	0.005
     5	-0.000523272	0	0.00333333
     6	-0.000259095	0	0.0025
     7	0.000986802	0	0.002
     8	-0.000171028	0	0.00142857
     9	0.000186358	0	0.001
    10	2.28089e-006	0	0.001
    11	-0.000317846	0	0.001
    12	-0.000800338	0	0.001
    13	-0.00114824	0	0.001
    14	-0.0017013	0	0.001
    15	-0.00403384	0	0.001
    16	-0.00290558	0	0.001
    17	-0.00205927	0	0.001
    18	-0.00258698	0	0.001
    19	-0.00246559	0	0.001

Measurement: bre
  step	AVG((v(b)-bavg)*cos(360*time*freq))	FROM	TO
     1	-0.0245585	0	0.1
     2	0.0211158	0	0.0333333
     3	-0.0238384	0	0.01
     4	-0.0149218	0	0.005
     5	0.0147434	0	0.00333333
     6	0.0246121	0	0.0025
     7	0.000835416	0	0.002
     8	-0.0169547	0	0.00142857
     9	0.000335689	0	0.001
    10	0.000868781	0	0.001
    11	0.00116564	0	0.001
    12	0.00142738	0	0.001
    13	0.00164921	0	0.001
    14	0.00199311	0	0.001
    15	0.000635832	0	0.001
    16	-0.000571289	0	0.001
    17	-0.00151421	0	0.001
    18	-8.67227e-006	0	0.001
    19	-1.05926e-005	0	0.001

Measurement: bim
  step	AVG(-(v(b)-bavg)*sin(360*time*freq))	FROM	TO
     1	0.0046843	0	0.1
     2	-0.0134005	0	0.0333333
     3	0.00777245	0	0.01
     4	-0.0203449	0	0.005
     5	-0.0207487	0	0.00333333
     6	0.00746633	0	0.0025
     7	0.0259868	0	0.002
     8	-0.0203965	0	0.00142857
     9	0.00268636	0	0.001
    10	0.00250228	0	0.001
    11	0.00218215	0	0.001
    12	0.00169965	0	0.001
    13	0.00135174	0	0.001
    14	0.000798657	0	0.001
    15	-0.001534	0	0.001
    16	-0.000405935	0	0.001
    17	0.000439754	0	0.001
    18	-8.88989e-005	0	0.001
    19	3.0499e-005	0	0.001

Measurement: cre
  step	AVG((v(c)-cavg)*cos(360*time*freq))	FROM	TO
     1	0.000386804	0	0.1
     2	0.00069169	0	0.0333333
     3	-0.00219054	0	0.01
     4	0.00510696	0	0.005
     5	0.00988411	0	0.00333333
     6	-0.00182285	0	0.0025
     7	-0.0173215	0	0.002
     8	0.0164938	0	0.00142857
     9	-0.00341852	0	0.001
    10	-0.00565131	0	0.001
    11	-0.00625411	0	0.001
    12	-0.00546483	0	0.001
    13	-0.00418904	0	0.001
    14	-0.00152671	0	0.001
    15	0.0127743	0	0.001
    16	0.00835887	0	0.001
    17	0.00388984	0	0.001
    18	0.00330891	0	0.001
    19	0.0021392	0	0.001

Measurement: cim
  step	AVG(-(v(c)-cavg)*sin(360*time*freq))	FROM	TO
     1	-0.000678135	0	0.1
     2	0.00159543	0	0.0333333
     3	-0.00402823	0	0.01
     4	-0.00578976	0	0.005
     5	0.00451511	0	0.00333333
     6	0.014045	0	0.0025
     7	0.00328566	0	0.002
     8	-0.0184703	0	0.00142857
     9	0.00088154	0	0.001
    10	0.00339779	0	0.001
    11	0.00599782	0	0.001
    12	0.00953413	0	0.001
    13	0.011949	0	0.001
    14	0.0147528	0	0.001
    15	0.00943889	0	0.001
    16	0.00083908	0	0.001
    17	-0.00239066	0	0.001
    18	-0.000156787	0	0.001
    19	-0.000411682	0	0.001

Measurement: dre
  step	AVG((v(d)-davg)*cos(360*time*freq))	FROM	TO
     1	-0.0245918	0	0.1
     2	0.0211562	0	0.0333333
     3	-0.0235813	0	0.01
     4	-0.0135904	0	0.005
     5	0.0136981	0	0.00333333
     6	0.0184442	0	0.0025
     7	-0.00200444	0	0.002
     8	-0.00191034	0	0.00142857
     9	0.000446277	0	0.001
    10	-0.00709166	0	0.001
    11	-0.0202034	0	0.001
    12	-0.0538252	0	0.001
    13	-0.0886361	0	0.001
    14	-0.129704	0	0.001
    15	0.152447	0	0.001
    16	0.20321	0	0.001
    17	0.317933	0	0.001
    18	0.0861834	0	0.001
    19	-0.0390813	0	0.001

Measurement: dim
  step	AVG(-(v(d)-davg)*sin(360*time*freq))	FROM	TO
     1	0.00465646	0	0.1
     2	-0.0133159	0	0.0333333
     3	0.00732988	0	0.01
     4	-0.0197075	0	0.005
     5	-0.0174724	0	0.00333333
     6	0.00759389	0	0.0025
     7	0.017154	0	0.002
     8	-0.00974688	0	0.00142857
     9	-0.000849337	0	0.001
    10	-0.00836399	0	0.001
    11	-0.0136012	0	0.001
    12	-0.0107459	0	0.001
    13	0.00949799	0	0.001
    14	0.0719738	0	0.001
    15	0.243931	0	0.001
    16	-0.0694162	0	0.001
    17	-0.971667	0	0.001
    18	0.0396996	0	0.001
    19	-0.0400395	0	0.001

Measurement: gain_db
  step	20*log10(hypot(bre,bim) / hypot(are,aim))
     1	85.5542
     2	68.8542
     3	50.1619
     4	39.8501
     5	33.7028
     6	29.3662
     7	26.068
     8	21.3653
     9	16.9651
    10	9.68277
    11	6.2251
    12	2.64711
    13	0.51528
    14	-1.73029
    15	-7.81591
    16	-12.5172
    17	-4.19601
    18	-29.2368
    19	-37.6582

Measurement: phase
  step	mod(atan2(bim, bre) - atan2(aim, are)+180,360)-180
     1	-20.9099
     2	-0.330185
     3	19.1127
     4	26.0064
     5	30.0735
     6	34.102
     7	38.4096
     8	45.9371
     9	53.8404
    10	70.7028
    11	77.1427
    12	79.2556
    13	74.1861
    14	62.3202
    15	13.5561
    16	-43.4804
    17	-69.8666
    18	-5.37969
    19	-160.601

Measurement: kco_db
  step	20*log10(hypot(bre,bim) / hypot(cre,cim))
     1	30.1096
     2	23.1564
     3	14.7569
     4	10.2859
     5	7.39308
     6	5.18234
     7	3.3743
     8	0.596495
     9	-2.3058
    10	-7.92211
    11	-10.8878
    12	-13.8942
    13	-15.4727
    14	-16.7864
