Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTC3855\LTC3855_ex1_bode.asc

DWH: Results for the full frequency sweep, i.e., 
     .step param freq list 100 300 1k 2k 3k 4k 5k 7k 10k 20k 30k 50k 70k 100k 200k 300k 500k 700k 1Meg
     51572s = 14 hours 20 minutes

WARNING: Node U1:N014 is floating.

Direct Newton iteration failed to find .op point.  (Use ".option noopiter" to skip.)
Starting Gmin stepping
Gmin = 10
Gmin = 1.07374
Gmin = 0.115292
Gmin = 0.0123794
Gmin = 0.00132923
Gmin = 0.000142725
Gmin = 1.5325e-005
Gmin = 1.6455e-006
Gmin = 1.76685e-007
Gmin = 1.89714e-008
Gmin = 2.03704e-009
Gmin = 2.18725e-010
Gmin = 2.34854e-011
Gmin = 2.52173e-012
Gmin = 2.70769e-013
Gmin = 0
Gmin stepping succeeded in finding the operating point.

.step freq=100
Changing Tseed to 9.95117e-009
Changing Tseed to 9.95117e-011
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	0.951591	0	0.1
     2	0.951591	0	0.0333333
     3	0.951591	0	0.01
     4	0.951591	0	0.005
     5	0.951591	0	0.00333333
     6	0.951591	0	0.0025
     7	0.95159	0	0.002
     8	0.95159	0	0.00142857
     9	0.95159	0	0.001
    10	0.951591	0	0.001
    11	0.95159	0	0.001
    12	0.951591	0	0.001
    13	0.95159	0	0.001
    14	0.951589	0	0.001
    15	0.951589	0	0.001
    16	0.951589	0	0.001
    17	0.95159	0	0.001
    18	0.951591	0	0.001
    19	0.95159	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	0.951591	0	0.1
     2	0.951591	0	0.0333333
     3	0.951591	0	0.01
     4	0.951591	0	0.005
     5	0.951591	0	0.00333333
     6	0.951591	0	0.0025
     7	0.95159	0	0.002
     8	0.95159	0	0.00142857
     9	0.95159	0	0.001
    10	0.951591	0	0.001
    11	0.95159	0	0.001
    12	0.951591	0	0.001
    13	0.95159	0	0.001
    14	0.951589	0	0.001
    15	0.951589	0	0.001
    16	0.951589	0	0.001
    17	0.95159	0	0.001
    18	0.951591	0	0.001
    19	0.95159	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.22009	0	0.1
     2	1.22	0	0.0333333
     3	1.22008	0	0.01
     4	1.2202	0	0.005
     5	1.22026	0	0.00333333
     6	1.22022	0	0.0025
     7	1.22024	0	0.002
     8	1.22026	0	0.00142857
     9	1.2201	0	0.001
    10	1.22023	0	0.001
    11	1.22014	0	0.001
    12	1.22043	0	0.001
    13	1.22059	0	0.001
    14	1.22081	0	0.001
    15	1.22244	0	0.001
    16	1.22321	0	0.001
    17	1.22204	0	0.001
    18	1.21995	0	0.001
    19	1.21981	0	0.001

Measurement: davg
  step	AVG(v(d))	FROM	TO
     1	0.984753	0	0.1
     2	0.984777	0	0.0333333
     3	0.984774	0	0.01
     4	0.984914	0	0.005
     5	0.98491	0	0.00333333
     6	0.984902	0	0.0025
     7	0.985337	0	0.002
     8	0.985199	0	0.00142857
     9	0.98528	0	0.001
    10	0.985044	0	0.001
    11	0.984644	0	0.001
    12	0.985373	0	0.001
    13	0.984965	0	0.001
    14	0.984894	0	0.001
    15	0.984556	0	0.001
    16	0.98492	0	0.001
    17	0.984637	0	0.001
    18	0.984672	0	0.001
    19	0.984981	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	4.26279e-007	0	0.1
     2	-1.586e-006	0	0.0333333
     3	6.34766e-005	0	0.01
     4	0.00034948	0	0.005
     5	0.000577195	0	0.00333333
     6	7.03209e-005	0	0.0025
     7	-0.00133691	0	0.002
     8	-0.00280853	0	0.00142857
     9	0.000549619	0	0.001
    10	0.00101746	0	0.001
    11	0.00113949	0	0.001
    12	0.00128616	0	0.001
    13	0.00142536	0	0.001
    14	0.00153512	0	0.001
    15	0.000948069	0	0.001
    16	0.00013174	0	0.001
    17	-0.000162723	0	0.001
    18	-5.36066e-006	0	0.001
    19	1.21682e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	1.49869e-006	0	0.1
     2	-7.77576e-006	0	0.0333333
     3	5.33073e-005	0	0.01
     4	5.72071e-006	0	0.005
     5	-0.000535571	0	0.00333333
     6	-0.00136141	0	0.0025
     7	-0.00153654	0	0.002
