Circuit: * C:\dwh\dwh\doc\power_supply_design\designs\LTM4601A\LTM4601A_ex1_bode.asc

DWH: full frequency sweep with Ccomp = 1f
     5367s = 1hr 30m

Direct Newton iteration failed to find .op point.  (Use ".option noopiter" to skip.)
Starting Gmin stepping
Gmin = 10
Gmin = 1.07374
Gmin = 0.115292
Gmin = 0.0123794
Gmin = 0.00132923
Gmin = 0.000142725
Gmin = 1.5325e-005
Gmin = 1.6455e-006
Gmin = 1.76685e-007
Gmin = 1.89714e-008
Gmin = 2.03704e-009
Gmin = 2.18725e-010
Gmin = 2.34854e-011
Gmin = 2.52173e-012
Gmin = 2.70769e-013
Gmin = 0
Gmin stepping succeeded in finding the operating point.

.step freq=100
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	1.49947	0	0.1
     2	1.49947	0	0.0333333
     3	1.49947	0	0.01
     4	1.49947	0	0.005
     5	1.49947	0	0.00333333
     6	1.49947	0	0.0025
     7	1.49947	0	0.002
     8	1.49947	0	0.00142857
     9	1.49947	0	0.001
    10	1.49947	0	0.001
    11	1.49947	0	0.001
    12	1.49947	0	0.001
    13	1.49947	0	0.001
    14	1.49947	0	0.001
    15	1.49948	0	0.001
    16	1.49949	0	0.001
    17	1.49949	0	0.001
    18	1.49951	0	0.001
    19	1.49949	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	1.49947	0	0.1
     2	1.49947	0	0.0333333
     3	1.49947	0	0.01
     4	1.49947	0	0.005
     5	1.49947	0	0.00333333
     6	1.49947	0	0.0025
     7	1.49947	0	0.002
     8	1.49947	0	0.00142857
     9	1.49947	0	0.001
    10	1.49947	0	0.001
    11	1.49947	0	0.001
    12	1.49947	0	0.001
    13	1.49947	0	0.001
    14	1.49947	0	0.001
    15	1.49948	0	0.001
    16	1.49949	0	0.001
    17	1.4995	0	0.001
    18	1.49951	0	0.001
    19	1.49948	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.78183	0	0.1
     2	1.78183	0	0.0333333
     3	1.78184	0	0.01
     4	1.78183	0	0.005
     5	1.78185	0	0.00333333
     6	1.78184	0	0.0025
     7	1.78178	0	0.002
     8	1.78186	0	0.00142857
     9	1.78184	0	0.001
    10	1.78181	0	0.001
    11	1.78181	0	0.001
    12	1.78189	0	0.001
    13	1.78186	0	0.001
    14	1.7818	0	0.001
    15	1.78173	0	0.001
    16	1.78167	0	0.001
    17	1.78168	0	0.001
    18	1.78135	0	0.001
    19	1.78058	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	5.04773e-006	0	0.1
     2	-1.16034e-005	0	0.0333333
     3	-4.275e-005	0	0.01
     4	0.000119493	0	0.005
     5	-0.00026738	0	0.00333333
     6	0.00052397	0	0.0025
     7	-0.000932189	0	0.002
     8	-0.00239226	0	0.00142857
     9	0.000682984	0	0.001
    10	0.00213697	0	0.001
    11	0.00162014	0	0.001
    12	0.00097299	0	0.001
    13	0.000738075	0	0.001
    14	0.000591207	0	0.001
    15	0.00044997	0	0.001
    16	0.000357673	0	0.001
    17	0.000187517	0	0.001
    18	4.53591e-005	0	0.001
    19	-3.48643e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	9.38109e-007	0	0.1
     2	7.62336e-007	0	0.0333333
     3	-7.6089e-005	0	0.01
     4	0.000315887	0	0.005
     5	-0.000709857	0	0.00333333
     6	0.00125183	0	0.0025
     7	-0.00192463	0	0.002
     8	-0.00354552	0	0.00142857
     9	0.000576904	0	0.001
    10	-0.00074616	0	0.001
    11	-0.00177077	0	0.001
    12	-0.00212817	0	0.001
    13	-0.00220227	0	0.001
    14	-0.00225797	0	0.001
    15	-0.00241315	0	0.001
    16	-0.00253319	0	0.001
    17	-0.00262513	0	0.001
    18	-0.00260368	0	0.001
    19	-0.0022945	0	0.001

Measurement: bre
  step	AVG((v(b)-bavg)*cos(360*time*freq))	FROM	TO
     1	-0.0202204	0	0.1
     2	-0.00773703	0	0.0333333
     3	-4.27499e-005	0	0.01
     4	0.000119493	0	0.005
     5	-0.00026738	0	0.00333333
     6	0.00052397	0	0.0025
     7	-0.000932189	0	0.002
     8	-0.00239226	0	0.00142857
     9	0.000682984	0	0.001
    10	0.00213697	0	0.001
    11	0.00162014	0	0.001
    12	0.000972983	0	0.001
    13	0.000738061	0	0.001
    14	0.000591126	0	0.001
