Circuit: * C:\dwh\uModule_Examples\LTM4601A\LTM4601A_ex3_bode.asc

DWH: full frequency sweep with Cff = 330p
     3918s = 1hr 5min

Direct Newton iteration failed to find .op point.  (Use ".option noopiter" to skip.)
Starting Gmin stepping
Gmin = 10
Gmin = 1.07374
Gmin = 0.115292
Gmin = 0.0123794
Gmin = 0.00132923
Gmin = 0.000142725
Gmin = 1.5325e-005
Gmin = 1.6455e-006
Gmin = 1.76685e-007
Gmin = 1.89714e-008
Gmin = 2.03704e-009
Gmin = 2.18725e-010
Gmin = 2.34854e-011
Gmin = 2.52173e-012
Gmin = 2.70769e-013
Gmin = 0
Gmin stepping succeeded in finding the operating point.

.step freq=100
.step freq=300
.step freq=1000
.step freq=2000
.step freq=3000
.step freq=4000
.step freq=5000
.step freq=7000
.step freq=10000
.step freq=20000
.step freq=30000
.step freq=50000
.step freq=70000
.step freq=100000
.step freq=200000
.step freq=300000
.step freq=500000
.step freq=700000
.step freq=1e+006


Measurement: aavg
  step	AVG(v(a))	FROM	TO
     1	0.948846	0	0.1
     2	0.948846	0	0.0333333
     3	0.948846	0	0.01
     4	0.948846	0	0.005
     5	0.948845	0	0.00333333
     6	0.948844	0	0.0025
     7	0.948841	0	0.002
     8	0.948826	0	0.00142857
     9	0.948845	0	0.001
    10	0.948843	0	0.001
    11	0.948842	0	0.001
    12	0.948842	0	0.001
    13	0.948843	0	0.001
    14	0.948843	0	0.001
    15	0.948841	0	0.001
    16	0.948841	0	0.001
    17	0.948842	0	0.001
    18	0.948843	0	0.001
    19	0.948849	0	0.001

Measurement: bavg
  step	AVG(v(b))	FROM	TO
     1	0.948846	0	0.1
     2	0.948846	0	0.0333333
     3	0.948846	0	0.01
     4	0.948846	0	0.005
     5	0.948845	0	0.00333333
     6	0.948844	0	0.0025
     7	0.948841	0	0.002
     8	0.948826	0	0.00142857
     9	0.948845	0	0.001
    10	0.948843	0	0.001
    11	0.948842	0	0.001
    12	0.948842	0	0.001
    13	0.948843	0	0.001
    14	0.948843	0	0.001
    15	0.948843	0	0.001
    16	0.948848	0	0.001
    17	0.948855	0	0.001
    18	0.948859	0	0.001
    19	0.948862	0	0.001

Measurement: cavg
  step	AVG(v(c))	FROM	TO
     1	1.82698	0	0.1
     2	1.82698	0	0.0333333
     3	1.82697	0	0.01
     4	1.82693	0	0.005
     5	1.82695	0	0.00333333
     6	1.82682	0	0.0025
     7	1.82684	0	0.002
     8	1.82685	0	0.00142857
     9	1.82697	0	0.001
    10	1.82698	0	0.001
    11	1.82699	0	0.001
    12	1.82685	0	0.001
    13	1.82686	0	0.001
    14	1.82677	0	0.001
    15	1.82648	0	0.001
    16	1.82583	0	0.001
    17	1.82465	0	0.001
    18	1.82454	0	0.001
    19	1.82418	0	0.001

Measurement: are
  step	AVG((v(a)-aavg)*cos(360*time*freq))	FROM	TO
     1	3.73659e-006	0	0.1
     2	-1.47534e-005	0	0.0333333
     3	-5.58472e-005	0	0.01
     4	0.000197829	0	0.005
     5	-0.000508018	0	0.00333333
     6	0.00105274	0	0.0025
     7	-0.00188548	0	0.002
     8	-0.00448895	0	0.00142857
     9	0.000992184	0	0.001
    10	0.00170529	0	0.001
    11	0.00130546	0	0.001
    12	0.00083205	0	0.001
    13	0.000636392	0	0.001
    14	0.000507179	0	0.001
    15	0.000414542	0	0.001
    16	0.000404717	0	0.001
    17	0.000342192	0	0.001
    18	0.000240315	0	0.001
    19	9.74345e-005	0	0.001

Measurement: aim
  step	AVG(-(v(a)-aavg)*sin(360*time*freq))	FROM	TO
     1	2.38997e-006	0	0.1
     2	-3.98384e-006	0	0.0333333
     3	-0.000120217	0	0.01
     4	0.000476715	0	0.005
     5	-0.00102908	0	0.00333333
     6	0.00171573	0	0.0025
     7	-0.00245881	0	0.002
     8	-0.00372084	0	0.00142857
     9	0.000352858	0	0.001
    10	-0.00103226	0	0.001
    11	-0.00168853	0	0.001
    12	-0.00199005	0	0.001
    13	-0.00206598	0	0.001
    14	-0.00211448	0	0.001
    15	-0.00220588	0	0.001
    16	-0.00230447	0	0.001
    17	-0.00248259	0	0.001
    18	-0.00256704	0	0.001
    19	-0.00258111	0	0.001

Measurement: bre
  step	AVG((v(b)-bavg)*cos(360*time*freq))	FROM	TO
     1	-0.0202217	0	0.1
     2	-0.00774018	0	0.0333333
     3	-5.58473e-005	0	0.01
     4	0.000197829	0	0.005
     5	-0.000508019	0	0.00333333
     6	0.00105274	0	0.0025
     7	-0.00188548	0	0.002
     8	-0.00448895	0	0.00142857
     9	0.000992185	0	0.001
    10	0.00170529	0	0.001
    11	0.00130547	0	0.001
    12	0.00083205	0	0.001
    13	0.000636342	0	0.001
    14	0.000507092	0	0.001
    15	0.000415171	0	0.001
    16	0.000404135	0	0.001
    17	0.000334571	0	0.001
    18	0.000230826	0	0.001
    19	8.54317e-005	0	0.001

Measurement: bim
  step	AVG(-(v(b)-bavg)*sin(360*time*freq))	FROM	TO
     1	0.014697	0	0.1
     2	-0.0237804	0	0.0333333
     3	-0.0251202	0	0.01
     4	0.0254767	0	0.005
     5	-0.026029	0	0.00333333
     6	0.0267157	0	0.0025
     7	-0.0274587	0	0.002
     8	-0.0287206	0	0.00142857
     9	0.00285281	0	0.001
    10	0.00146755	0	0.001
    11	0.000811043	0	0.001
    12	0.000508796	0	0.001
    13	0.00043182	0	0.001
    14	0.000381288	0	0.001
    15	0.000279225	0	0.001
    16	0.000170994	0	0.001
    17	-1.77169e-005	0	0.001
    18	-0.000105559	0	0.001
    19	-0.000124495	0	0.001

Measurement: cre
  step	AVG((v(c)-cavg)*cos(360*time*freq))	FROM	TO
     1	-0.00328445	0	0.1
     2	0.00376655	0	0.0333333
     3	0.0163755	0	0.01
     4	-0.0331826	0	0.005
